category,case,value,threshold,pass
evidence,step7a_gate,26/26,26/26,True
contract,profile_hash,80912741f9da5560234c400a36e2ec48461cef70bf96701b19fcb90ea278990a,80912741f9da5560234c400a36e2ec48461cef70bf96701b19fcb90ea278990a,True
reference,source_config_hash,f0600be7c5b79445a1055463e0a41486a52f16daa20068c610d56457bd03836a,f0600be7c5b79445a1055463e0a41486a52f16daa20068c610d56457bd03836a,True
reference,source_run_audit_hash,64d89c07ee5151b6dcdd50d6eee60fad15f5df03fdbf6a68fb4847772f08e366,64d89c07ee5151b6dcdd50d6eee60fad15f5df03fdbf6a68fb4847772f08e366,True
matrix,effective_and_new_runs,arms=9 new=5 refs=4 jobs=25,9/5/4/25 exact,True
matrix,paper_facing_cells,"{'expected_runs': 45, 'effective_arms': 9, 'effective_runs': 45, 'new_training_arms': 5, 'new_training_runs': 25, 'reused_reference_arms': 4, 'reused_reference_runs': 20, 'horizons': [96, 192, 336, 720], 'metrics': ['mse', 'mae'], 'new_validation_cells': 100, 'new_official_test_cells': 100, 'effective_official_test_cells': 180, 'full_matrix_required': True, 'partial_reporting_allowed': False}",45 effective runs / 100 new cells / 180 effective cells,True
matrix,new_arm_semantics,"[('siff_categorical_target_only', 'siff-coupling-field', 'static-target'), ('siff_independent_target_only', 'siff-independent-scope-control', 'static-target'), ('tsaf', 'siff-coupling-field', 'target-scale-field'), ('tsaf_no_target_global', 'siff-coupling-field', 'target-scale-global'), ('tsaf_permuted_scale', 'siff-coupling-field', 'target-scale-field-permuted')]",five frozen arm semantics,True
reference,twenty_reusable_runs,20/20,20/20,True
reference,direct_independent_not_reused,"['a6_full', 'a6_measure', 'pcsd_equal', 'siff_v2_direct_parent']",direct-policy independent excluded,True
cli,all_new_jobs_parse,25/25,25/25,True
initialization,paired_encoder_tsaf_and_capacity,5/5 max_gap=0.003619,5/5 and gap<=0.004,True
gradient,two_step_policy_and_field,5/5,5/5 finite nonzero,True
runner,syntax_dry_run_and_authorization_refusal,"{'syntax_pass': True, 'executable': True, 'dry_run_pass': True, 'authorization_mode': 'authorized', 'authorization_boundary_pass': True, 'dry_run_last_line': 'tsaf_dry_run=pass jobs=25 config_hash=32ec229c66c5683a48793b5bbde3c4f6e99790e4f6e05e4076ec6284c351e748 profile_hash=80912741f9da5560234c400a36e2ec48461cef70bf96701b19fcb90ea278990a remote_authorized=true test_authorized=true', 'blocked_stderr': 'not run because remote training is authorized'}",syntax/executable/dry-run true and authorization boundary honored,True
authorization,seed2021_remote_and_single_test_authorized,"{'user_authorization_basis': '2026-07-21 user instruction: 继续推进远程实验', 'step7b_design_and_prelaunch_authorized': True, 'user_authorized': True, 'authorization_date': '2026-07-21', 'remote_training_authorized': True, 'formal_test_access_authorized': True, 'test_role': 'primary-mechanism-effectiveness-and-paper-benchmark', 'checkpoint_selection': 'best-validation-mean-mse-h96-h192-h336-h720', 'checkpoint_retraining_allowed': True, 'checkpoint_mutation_during_test_allowed': False, 'phase_a_seed': 2021, 'confirmation_seeds_authorized': False, 'confirmation_authorized': False, 'test_role_if_later_authorized': 'primary-mechanism-effectiveness-and-paper-benchmark', 'formal_test_access_count_for_version': 1, 'per_dataset_horizon_or_cell_tuning_allowed': False}",seed2021 remote/test true; confirmation false; evaluator accepts,True
artifact,checkpoint_preserving_schema,"{'training_required': ['checkpoint.pt', 'training_log.csv', 'metrics_by_target_horizon.csv', 'effective_config.json', 'initialization_contract.json', 'model_diagnostics.json'], 'formal_test_required': ['test_audit_metrics_by_target_horizon.csv', 'test_audit_invariants.json', 'pcsd_test_audit_diagnostics.npz'], 'checkpoint_nonmutation_required': True}",training/test split and checkpoint nonmutation frozen,True
